Competition Schedule for 2021: The Event Line-up for Each Session of the Olympic Games Tokyo 2020;;;;;;
SPORT(DISCIPLINE);VENUE;DATE;START TIME;END TIME;EVENT;
Opening and Closing Ceremonies;Olympic Stadium;2021-07-23;20:00;23:00;Opening Ceremony;
Opening and Closing Ceremonies;Olympic Stadium;2021-08-08;20:00;23:00;Closing Ceremony;
3x3 Basketball;Aomi Urban Sports Park;2021-07-24;10:15;12:25;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-24;14:00;15:50;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-24;17:30;19:30;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-24;21:00;22:50;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-25;10:15;12:25;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-25;14:00;15:50;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-25;17:30;19:30;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-25;21:00;22:50;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-26;10:15;12:25;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-26;14:00;15:50;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-26;17:30;19:30;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-26;21:00;22:50;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-27;13:30;15:30;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-27;17:00;18:50;"Women's Pool Round (2 games) /
Men's Pool Round (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-27;20:30;22:50;"Women's Quarterfinals (2 games) /
Men's Quarterfinals (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-28;17:00;19:10;"Women's Semifinals (2 games) /
Men's Semifinals (2 games)";
3x3 Basketball;Aomi Urban Sports Park;2021-07-28;20:45;23:25;"Women's Bronze Medal Game / Men's Bronze Medal Game / Women's Gold Medal Game / Men's Gold Medal Game / Women's Victory Ceremony /
Men's Victory Ceremony";
Archery;Yumenoshima Park Archery Field;2021-07-23;09:00;11:00;"Women's Individual Ranking Round
*Session tickets not for sale";
Archery;Yumenoshima Park Archery Field;2021-07-23;13:00;15:00;"Men's Individual Ranking Round
*Session tickets not for sale";
Archery;Yumenoshima Park Archery Field;2021-07-24;09:30;12:05;Mixed Team 1/8 Eliminations;
Archery;Yumenoshima Park Archery Field;2021-07-24;14:15;17:25;"Mixed Team Quarterfinals / Mixed Team Semifinals /
Mixed Team Bronze Medal Match / Mixed Team Gold Medal Match /
Mixed Team Victory Ceremony";
Archery;Yumenoshima Park Archery Field;2021-07-25;09:30;11:05;Women's Team 1/8 Eliminations;
Archery;Yumenoshima Park Archery Field;2021-07-25;13:45;17:25;"Women's Team Quarterfinals / Women's Team Semifinals /
Women's Team Bronze Medal Match / Women's Team Gold Medal Match /
Women's Team Victory Ceremony";
Archery;Yumenoshima Park Archery Field;2021-07-26;09:30;11:05;Men's Team 1/8 Eliminations;
Archery;Yumenoshima Park Archery Field;2021-07-26;13:45;17:25;"Men's Team Quarterfinals / Men's Team Semifinals /
Men's Team Bronze Medal Match / Men's Team Gold Medal Match /
Men's Team Victory Ceremony";
Archery;Yumenoshima Park Archery Field;2021-07-27;09:30;13:25;"Men's Individual 1/32 & 1/16 Eliminations /
Women's Individual 1/32 & 1/16 Eliminations";
Archery;Yumenoshima Park Archery Field;2021-07-27;16:00;19:55;"Men's Individual 1/32 & 1/16 Eliminations /
Women's Individual 1/32 & 1/16 Eliminations";
